City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2022-08-10 19:59:52,57.79,-152.4072,52.16,97,100,8.05
1,Arraial Do Cabo,BR,2022-08-10 19:59:53,-22.9661,-42.0278,73.36,83,75,3.44
2,Warrington,GB,2022-08-10 19:59:53,53.3925,-2.5802,77.72,55,0,8.05
3,Punta Arenas,CL,2022-08-10 19:57:42,-53.15,-70.9167,44.71,76,0,6.91
4,Bluff,NZ,2022-08-10 19:59:54,-46.6,168.3333,41.68,69,98,8.1
5,Menongue,AO,2022-08-10 19:59:55,-14.6585,17.691,59.2,22,0,4.03
6,Atuona,PF,2022-08-10 19:59:33,-9.8,-139.0333,77.38,77,7,23.17
7,Vila Franca Do Campo,PT,2022-08-10 19:59:56,37.7167,-25.4333,72.01,70,63,7.14
8,Qaanaaq,GL,2022-08-10 19:59:57,77.484,-69.3632,38.53,63,83,1.99
9,Mar Del Plata,AR,2022-08-10 19:57:06,-38.0023,-57.5575,57.94,56,40,12.66
10,Rikitea,PF,2022-08-10 19:57:04,-23.1203,-134.9692,73.27,75,83,21.23
11,Muisne,EC,2022-08-10 19:59:59,0.6,-80.0333,75.38,82,100,12.41
12,Bilibino,RU,2022-08-10 20:00:00,68.0546,166.4372,62.37,83,16,1.66
13,Belaya Gora,RU,2022-08-10 19:59:58,68.5333,146.4167,63.14,59,48,1.14
14,Pevek,RU,2022-08-10 20:00:01,69.7008,170.3133,38.43,94,97,5.64
15,Beringovskiy,RU,2022-08-10 20:00:01,63.05,179.3167,56.34,77,9,7.43
16,Qaqortoq,GL,2022-08-10 20:00:02,60.7167,-46.0333,44.89,81,100,5.12
17,Bajram Curri,AL,2022-08-10 20:00:03,42.3554,20.0784,68.29,79,82,5.53
18,Port Alfred,ZA,2022-08-10 20:00:04,-33.5906,26.891,60.1,85,89,6.22
19,Carnarvon,AU,2022-08-10 20:00:05,-24.8667,113.6333,57.36,55,0,17.25
20,Butaritari,KI,2022-08-10 20:00:06,3.0707,172.7902,81.1,78,75,17.9
21,Kibungo,RW,2022-08-10 20:00:07,-2.1597,30.5427,72.52,42,90,2.28
22,Georgetown,MY,2022-08-10 19:56:07,5.4112,100.3354,80.89,89,20,1.14
23,Vaini,TO,2022-08-10 20:00:10,-21.2,-175.2,77.23,87,2,19.33
24,Ostrovnoy,RU,2022-08-10 20:00:12,68.0531,39.5131,58.33,73,100,21.99
25,Leh,IN,2022-08-10 20:00:13,34.1667,77.5833,69.46,39,100,4.99
26,Safaga,EG,2022-08-10 20:00:14,26.7292,33.9365,90.95,39,33,12.97
27,Longyearbyen,SJ,2022-08-10 20:00:14,78.2186,15.6401,49.84,71,75,11.5
28,Kidal,ML,2022-08-10 20:00:15,18.4411,1.4078,86.63,45,61,20.69
29,Ushuaia,AR,2022-08-10 20:00:15,-54.8,-68.3,38.84,96,100,3.98
30,Mount Isa,AU,2022-08-10 20:00:16,-20.7333,139.5,44.37,61,0,0.0
31,Tuktoyaktuk,CA,2022-08-10 20:00:17,69.4541,-133.0374,46.53,76,100,21.97
32,Wad Madani,SD,2022-08-10 20:00:18,14.4012,33.5199,78.46,72,100,15.7
33,Leningradskiy,RU,2022-08-10 20:00:18,69.3833,178.4167,43.93,89,81,2.24
34,New Norfolk,AU,2022-08-10 20:00:19,-42.7826,147.0587,39.9,79,29,2.75
35,Severo-Kurilsk,RU,2022-08-10 20:00:19,50.6789,156.125,54.99,94,54,10.42
36,Toma,BF,2022-08-10 20:00:20,12.7667,-2.8833,81.23,70,18,5.46
37,Lagoa,PT,2022-08-10 20:00:21,39.05,-27.9833,71.11,71,65,7.7
38,Bredasdorp,ZA,2022-08-10 20:00:21,-34.5322,20.0403,52.95,93,100,3.29
39,Hamilton,US,2022-08-10 19:57:55,39.1834,-84.5333,85.64,72,94,4.0
